"timestamps_ms", "ids"
5.5, 4
28.4, 3
52.3, 2
75.4, 1
75.9, 0
224.9, 2
241.6, 1
243.0, 0
260.6, 1
263.1, 0
265.8, 1
266.4, 0
361.0, 2
364.7, 1
365.2, 0
467.6, 4
562.3, 3
571.4, 2
577.8, 1
578.2, 0
588.7, 1
589.1, 0
600.6, 7
835.7, 6
853.0, 5
961.2, 4
984.1, 3
1113.4, 2
1125.1, 1
1125.8, 0
1139.6, 1
1140.1, 0
1149.0, 3
1169.2, 2
1173.8, 1
1174.2, 0
1176.8, 1
1177.5, 0
1204.2, 2
1208.0, 1
1208.4, 0
1273.0, 3
1294.5, 2
1300.4, 1
1301.0, 0
1305.5, 1
1306.1, 0
1348.4, 3
1409.4, 2
1418.0, 1
1418.6, 0
1485.4, 6
1671.7, 5
1687.1, 4
1738.7, 3
1783.8, 2
1787.5, 1
1787.8, 0
1791.3, 1
1791.8, 0
1797.4, 1
1797.8, 0
1808.9, 1
1809.3, 0
1820.5, 1
1821.3, 0
1832.3, 3
1849.0, 2
1854.1, 1
1854.6, 0
1857.5, 1
1858.3, 0
1883.3, 1
1884.1, 0
1916.4, 2
1919.9, 1
1920.6, 0
1967.0, 2
1973.4, 1
1973.9, 0
1987.5, 1
1989.8, 0
2002.0, 2
2011.2, 1
2011.5, 0
2020.8, 1
2021.4, 0
2024.8, 1
2025.2, 0
2029.1, 1
2029.4, 0
2038.8, 1
2041.0, 0
2047.0, 1
2047.8, 0
2055.5, 1
2056.2, 0
2068.1, 2
2073.4, 1
2074.1, 0
2097.3, 2
2107.0, 1
2107.4, 0
2112.0, 1
2112.4, 0
2123.0, 1
2123.7, 0
2145.8, 1
2146.3, 0
2163.4, 1
2164.0, 0
2170.8, 1
2171.4, 0
2178.3, 1
2179.6, 0
2186.0, 1
2186.6, 0
2203.6, 2
2232.0, 1
2232.8, 0
2245.6, 2
2255.8, 1
2257.0, 0
2260.4, 1
2260.9, 0
2290.7, 2
2293.8, 1
2294.2, 0
2301.0, 2
2310.3, 1
2314.1, 0
2319.2, 1
2319.9, 0
2403.1, 4
2438.2, 3
2472.3, 2
2477.2, 1
2477.6, 0
2486.4, 2
2501.5, 1
2502.0, 0
2507.8, 2
2512.4, 1
2513.0, 0
2530.9, 1
2531.4, 0
2542.7, 2
2559.4, 1
2562.0, 0
2565.8, 1
2566.2, 0
2569.2, 1
2569.7, 0
2586.0, 1
2586.5, 0
2597.5, 2
2608.6, 1
2609.2, 0
2639.7, 5
2705.7, 4
2711.9, 3
2726.2, 2
2739.2, 1
2739.6, 0
2758.3, 2
2776.7, 1
2778.4, 0
2797.4, 2
2813.9, 1
2814.3, 0
2819.2, 1
2819.8, 0
2823.1, 1
2823.5, 0
2825.6, 1
2826.5, 0
2836.2, 1
2836.7, 0
2841.0, 1
2841.4, 0
2856.2, 2
2859.4, 1
2859.9, 0
2960.8, 4
3067.2, 3
3073.2, 2
3076.5, 1
3077.0, 0
3278.6, 3
3303.4, 2
3307.7, 1
3308.1, 0
3318.9, 2
3328.9, 1
3329.5, 0
3418.7, 2
3482.3, 1
3483.9, 0
3494.1, 2
3506.2, 1
3506.7, 0
3518.6, 1
3519.5, 0
3530.0, 1
3530.4, 0
3633.0, 4
3650.5, 3
3772.9, 2
3814.7, 1
3816.6, 0
3878.8, 4
3979.8, 3
4002.8, 2
4013.0, 1
4013.6, 0
4022.5, 2
4039.3, 1
4039.9, 0
4067.0, 3
4082.2, 2
4097.8, 1
4098.2, 0
4113.8, 2
4127.1, 1
4127.6, 0
4201.8, 2
4214.2, 1
4218.2, 0
4339.4, 3
4364.8, 2
4374.5, 1
4375.2, 0
4399.0, 1
4399.7, 0
4408.4, 2
4422.6, 1
4423.3, 0
4427.4, 3
4480.1, 2
4483.6, 1
4484.1, 0
4574.0, 4
4637.2, 3
4677.8, 2
4681.3, 1
4681.8, 0
4734.4, 4
4761.4, 3
4781.0, 2
4790.8, 1
4791.4, 0
4800.7, 5
4834.9, 4
4912.8, 3
4952.3, 2
4965.2, 1
4966.0, 0
5001.0, 1
5001.4, 0
5011.6, 2
5021.0, 1
5021.4, 0
5026.5, 2
5032.6, 1
5033.0, 0
5154.6, 2
5159.8, 1
5160.4, 0
5195.3, 2
5200.6, 1
5201.2, 0
5208.2, 1
5208.8, 0
5224.4, 1
5228.4, 0
5265.1, 1
5265.7, 0
5269.0, 2
5316.0, 1
5318.0, 0
5330.4, 2
5335.9, 1
5336.4, 0
5339.4, 1
5340.4, 0
5346.1, 3
5389.4, 2
5396.5, 1
5396.8, 0
5402.2, 2
5405.8, 1
5406.2, 0
5415.6, 2
5419.9, 1
5420.3, 0
5433.6, 2
5438.4, 1
5438.7, 0
5466.5, 1
5466.9, 0
5496.3, 1
5497.6, 0
5503.8, 2
5508.7, 1
5509.1, 0
5537.7, 3
5592.2, 2
5610.8, 1
5611.3, 0
5614.6, 1
5615.4, 0
5751.4, 3
5772.2, 2
5776.0, 1
5776.6, 0
5779.7, 1
5780.7, 0
5784.4, 1
5784.9, 0
5795.0, 3
5885.9, 2
5893.8, 1
5894.2, 0
5913.4, 5
5973.6, 4
6030.4, 3
6038.2, 2
6053.9, 1
6054.4, 0
6072.6, 1
6073.2, 0
6180.5, 4
6226.3, 3
6256.4, 2
6263.4, 1
6263.8, 0
6282.5, 1
6285.0, 0
6299.8, 2
6303.7, 1
6304.2, 0
6478.8, 2
6485.0, 1
6488.4, 0
6538.2, 2
6586.8, 1
6587.6, 0
6648.6, 2
6666.3, 1
6667.1, 0
6683.9, 2
6690.4, 1
6691.0, 0
6708.4, 1
6708.9, 0
6718.4, 2
6756.9, 1
6758.0, 0
6784.4, 1
6785.0, 0
6792.3, 1
6793.8, 0
6799.4, 3
6812.1, 2
6821.2, 1
6821.5, 0
6827.3, 3
6925.8, 2
6929.6, 1
6933.0, 0
6936.4, 2
6952.1, 1
6952.8, 0
6963.1, 1
6963.7, 0
6969.0, 2
6977.4, 1
6977.9, 0
7066.6, 1
7067.1, 0
7080.3, 1
7081.2, 0
7086.0, 2
7091.4, 1
7091.8, 0
7156.4, 1
7157.0, 0
7168.7, 2
7183.0, 1
7186.6, 0
7206.6, 1
7207.2, 0
7216.8, 3
7285.7, 2
7292.6, 1
7293.1, 0
7305.1, 3
7322.9, 2
7327.2, 1
7328.0, 0
7349.1, 1
7351.8, 0
7434.0, 3
7463.6, 2
7474.4, 1
7475.0, 0
7485.7, 2
7497.5, 1
7497.9, 0
7516.2, 2
7596.7, 1
7597.1, 0
7665.9, 2
7693.8, 1
7694.4, 0
7818.1, 2
7894.8, 1
7896.8, 0
7906.2, 1
7908.3, 0
7919.6, 3
7981.8, 2
7987.4, 1
7987.9, 0
7994.2, 1
7995.0, 0
8005.9, 4
8051.0, 3
8089.3, 2
8095.1, 1
8096.4, 0
8100.4, 1
8101.0, 0
8118.6, 3
8132.6, 2
8140.5, 1
8141.0, 0
8165.0, 1
8165.5, 0
8173.4, 1
8174.1, 0
8232.8, 9
8266.2, 8
8309.4, 7
8386.0, 6
8577.0, 5
8634.0, 4
8695.0, 3
8756.7, 2
8766.6, 1
8766.9, 0
8830.3, 3
8877.6, 2
8938.9, 1
8939.5, 0
8993.7, 2
9008.3, 1
9009.0, 0
9033.0, 2
9057.3, 1
9060.6, 0
9146.7, 2
9150.3, 1
9150.8, 0
9155.9, 2
9169.2, 1
9169.6, 0
9176.6, 1
9177.2, 0
9232.2, 3
9407.8, 2
9423.8, 1
9424.5, 0
9430.4, 2
9437.8, 1
9438.4, 0
9455.1, 2
9460.0, 1
9460.3, 0
9474.4, 2
9480.9, 1
9481.6, 0
9498.5, 2
9502.1, 1
9502.6, 0
9532.0, 1
9532.4, 0
9541.4, 1
9541.8, 0
9549.7, 1
9552.9, 0
9579.9, 2
9590.1, 1
9590.6, 0
9601.2, 1
9601.7, 0
9686.8, 4
9699.4, 3
9790.2, 2
9796.3, 1
9798.5, 0
9811.8, 2
9817.3, 1
9817.6, 0
9824.4, 1
9824.8, 0
9829.9, 1
9830.4, 0
9842.9, 2
9861.5, 1
9862.1, 0
9874.3, 2
9892.6, 1
9893.1, 0
9935.9, 2
9940.5, 1
9940.9, 0
9964.4, 2
9971.6, 1
9972.2, 0
9988.5, 7
10045.7, 6
10103.4, 5
10126.9, 4
10159.8, 3
10180.7, 2
10184.8, 1
10185.5, 0
10206.6, 2
10226.7, 1
10227.4, 0
10252.6, 2
10413.0, 1
10416.2, 0
10422.9, 4
10512.8, 3
10557.6, 2
10583.0, 1
10583.5, 0
10627.8, 4
10650.8, 3
10691.5, 2
10700.1, 1
10700.5, 0
10716.0, 3
10797.4, 2
10804.6, 1
10806.0, 0
10869.0, 3
10941.8, 2
10951.3, 1
10951.7, 0
10956.1, 1
10956.5, 0
10973.5, 1
10973.9, 0
10984.1, 2
10994.8, 1
10995.4, 0
11021.6, 5
11060.3, 4
11073.8, 3
11131.2, 2
11141.8, 1
11142.4, 0
11147.1, 2
11161.1, 1
11161.5, 0
11195.1, 2
11204.6, 1
11205.2, 0
11253.2, 2
11284.8, 1
11285.4, 0
11295.0, 2
11301.7, 1
11302.0, 0
11425.5, 2
11429.0, 1
11429.8, 0
11435.3, 2
11442.4, 1
11443.1, 0
11450.2, 1
11453.1, 0
11459.2, 1
11459.6, 0
11527.3, 1
11530.5, 0
11557.8, 3
11576.3, 2
11583.8, 1
11584.2, 0
11633.9, 2
11718.5, 1
11719.6, 0
11727.0, 1
11727.5, 0
11738.1, 2
11741.8, 1
11742.3, 0
11755.1, 2
11769.3, 1
11769.8, 0
11781.6, 1
11782.0, 0
11957.8, 2
11966.8, 1
11967.3, 0
11973.8, 4
11995.0, 3
12026.0, 2
12031.1, 1
12031.5, 0
12044.0, 2
12057.2, 1
12057.7, 0
12075.0, 3
12124.5, 2
12132.0, 1
12132.6, 0
12162.6, 2
12200.2, 1
12202.2, 0
12222.1, 2
12227.9, 1
12228.3, 0
12232.1, 2
12239.6, 1
12239.9, 0
12250.3, 2
12254.4, 1
12254.7, 0
12259.0, 1
12259.5, 0
12298.0, 1
12300.6, 0
12352.6, 4
12410.8, 3
12449.9, 2
12454.4, 1
12455.3, 0
12467.6, 1
12468.2, 0
12483.0, 2
12491.7, 1
12492.4, 0
12517.7, 2
12549.4, 1
12549.8, 0
12656.8, 5
12674.0, 4
12694.8, 3
12720.3, 2
12729.9, 1
12730.5, 0
12765.4, 3
12806.8, 2
12811.4, 1
12812.0, 0
12886.0, 4
12908.5, 3
12937.9, 2
12965.1, 1
12965.8, 0
12970.9, 3
12985.0, 2
12996.0, 1
12996.4, 0
13016.1, 1
13016.8, 0
13038.0, 2
13045.5, 1
13046.0, 0
13050.8, 2
13071.7, 1
13072.2, 0
13098.0, 1
13098.5, 0
13107.8, 1
13108.3, 0
13118.7, 2
13125.3, 1
13125.6, 0
13141.5, 1
13142.2, 0
13157.2, 9
13193.2, 8
13223.5, 7
13293.7, 6
13321.9, 5
13384.4, 4
13532.3, 3
13543.8, 2
13561.2, 1
13561.8, 0
13648.6, 3
13674.3, 2
13695.1, 1
13695.8, 0
13701.7, 2
13710.8, 1
13711.2, 0
13721.4, 1
13722.0, 0
13822.2, 1
13822.8, 0
13836.6, 3
13876.2, 2
13918.2, 1
13919.0, 0
13930.8, 2
13953.0, 1
13953.8, 0
13982.8, 1
13985.5, 0
14007.5, 1
14007.9, 0
14018.4, 1
14019.4, 0
14029.2, 1
14030.0, 0
14034.7, 2
14045.0, 1
14045.6, 0
14081.0, 2
14087.4, 1
14088.0, 0
14091.7, 1
14092.4, 0
14101.8, 3
14123.0, 2
14132.7, 1
14135.5, 0
14139.0, 2
14146.2, 1
14146.6, 0
14151.3, 1
14151.8, 0
14176.0, 1
14176.5, 0
14186.6, 2
14191.2, 1
14191.5, 0
14207.3, 1
14208.4, 0
14234.7, 1
14235.1, 0
14252.0, 2
14257.2, 1
14257.6, 0
14276.4, 2
14313.2, 1
14314.0, 0
14328.8, 2
14337.5, 1
14338.1, 0
14347.5, 2
14369.1, 1
14370.1, 0
14387.6, 3
14448.0, 2
14453.8, 1
14454.3, 0
14498.8, 4
14544.5, 3
14656.4, 2
14661.2, 1
14661.8, 0
14675.4, 2
14687.6, 1
14690.4, 0
14704.7, 4
14819.7, 3
14843.7, 2
14851.2, 1
14851.5, 0
14887.3, 2
14918.8, 1
14920.4, 0
14925.1, 1
14925.9, 0
14960.7, 3
14967.1, 2
14971.1, 1
14971.5, 0
15012.5, 1
15013.1, 0
15053.0, 3
15081.0, 2
15087.6, 1
15088.1, 0
15107.4, 2
15113.3, 1
15113.6, 0
15124.1, 1
15126.2, 0
15130.4, 2
15140.3, 1
15140.7, 0
15155.6, 1
15156.2, 0
15176.0, 3
15206.9, 2
15214.6, 1
15215.0, 0
15222.0, 1
15223.0, 0
15310.5, 3
15322.0, 2
15331.0, 1
15331.5, 0
15407.4, 2
15425.8, 1
15426.2, 0
15443.6, 3
15462.7, 2
15487.2, 1
15487.8, 0
15493.9, 5
15532.3, 4
15659.2, 3
15691.2, 2
15698.3, 1
15698.7, 0
15709.9, 2
15788.4, 1
15791.6, 0
15797.4, 1
15797.6, 0
15802.4, 1
15805.8, 0
15854.8, 4
15921.8, 3
16057.6, 2
16072.4, 1
16075.9, 0
16081.2, 1
16081.6, 0
16121.7, 5
16258.2, 4
16312.8, 3
16337.1, 2
16340.1, 1
16340.6, 0
16465.8, 9
16516.5, 8
16575.3, 7
16581.6, 6
16629.4, 5
16713.6, 4
16728.4, 3
16736.8, 2
16742.1, 1
16742.6, 0
16751.8, 2
16756.1, 1
16756.5, 0
16798.1, 6
16825.2, 5
16895.2, 4
16903.3, 3
16936.3, 2
16962.1, 1
16964.8, 0
16978.5, 4
17014.0, 3
17021.3, 2
17027.9, 1
17028.6, 0
17033.5, 2
17057.7, 1
17058.4, 0
17085.4, 1
