"timestamps_ms", "ids"
66.8, 2
70.8, 1
71.2, 0
78.5, 2
85.3, 1
86.3, 0
89.4, 2
95.6, 1
96.0, 0
115.8, 1
116.0, 0
128.8, 2
137.9, 1
139.1, 0
168.8, 5
192.4, 4
224.4, 3
233.3, 2
251.9, 1
252.4, 0
284.6, 1
285.3, 0
289.4, 1
289.6, 0
297.9, 1
298.2, 0
306.4, 1
306.8, 0
311.2, 2
323.6, 1
323.8, 0
326.3, 2
336.1, 1
336.8, 0
349.5, 2
357.5, 1
358.2, 0
369.0, 2
374.5, 1
375.1, 0
389.8, 1
390.4, 0
398.1, 3
410.5, 2
415.1, 1
415.6, 0
424.1, 2
428.3, 1
428.6, 0
439.6, 2
451.8, 1
452.4, 0
467.8, 2
479.7, 1
480.2, 0
494.9, 2
502.1, 1
502.6, 0
507.3, 3
514.9, 2
528.4, 1
528.8, 0
534.7, 2
546.4, 1
546.9, 0
561.6, 2
571.3, 1
571.8, 0
586.6, 1
586.8, 0
598.9, 2
602.8, 1
603.1, 0
605.1, 1
605.3, 0
622.9, 3
634.4, 2
643.2, 1
643.6, 0
655.0, 2
669.9, 1
670.6, 0
681.6, 2
692.4, 1
692.9, 0
731.4, 2
735.1, 1
735.4, 0
742.4, 2
746.1, 1
746.4, 0
754.5, 1
755.8, 0
759.9, 3
793.9, 2
798.5, 1
798.6, 0
804.6, 2
809.6, 1
809.8, 0
814.0, 1
814.6, 0
861.0, 3
873.8, 2
882.0, 1
882.4, 0
888.8, 2
891.8, 1
892.0, 0
903.3, 2
916.9, 1
917.4, 0
930.6, 3
940.3, 2
949.6, 1
949.9, 0
960.1, 2
974.9, 1
975.3, 0
984.4, 2
995.3, 1
995.9, 0
1006.2, 3
1028.1, 2
1037.9, 1
1038.3, 0
1047.9, 3
1065.3, 2
1076.4, 1
1077.0, 0
1081.8, 2
1092.1, 1
1092.6, 0
1104.3, 3
1122.1, 2
1129.4, 1
1129.8, 0
1140.1, 2
1147.6, 1
1147.8, 0
1164.6, 2
1179.9, 1
1180.3, 0
1205.1, 1
1205.8, 0
1210.1, 2
1221.9, 1
1222.8, 0
1249.5, 1
1250.2, 0
1254.8, 2
1259.8, 1
1260.1, 0
1271.2, 1
1271.5, 0
1299.2, 1
1299.6, 0
1306.4, 2
1326.2, 1
1326.8, 0
1336.8, 3
1352.2, 2
1362.6, 1
1362.8, 0
1370.1, 1
1370.9, 0
1393.2, 1
1393.5, 0
1405.6, 4
1428.8, 3
1444.3, 2
1454.0, 1
1454.6, 0
1469.2, 3
1480.3, 2
1490.7, 1
1491.0, 0
1508.3, 1
1508.8, 0
1517.4, 2
1533.0, 1
1533.6, 0
1548.4, 2
1555.9, 1
1556.3, 0
1569.2, 2
1579.0, 1
1579.4, 0
1589.2, 3
1600.8, 2
1633.1, 1
1633.6, 0
1648.4, 2
1675.1, 1
1675.5, 0
1687.5, 1
1687.8, 0
1695.1, 3
1704.6, 2
1709.5, 1
1709.9, 0
1716.1, 2
1719.1, 1
1719.4, 0
1730.9, 2
1748.4, 1
1748.8, 0
1774.9, 1
1775.1, 0
1793.7, 2
1805.5, 1
1806.3, 0
1812.6, 1
1814.3, 0
1819.3, 2
1824.3, 1
1825.2, 0
1831.3, 2
1848.2, 1
1848.9, 0
1861.3, 2
1865.4, 1
1867.3, 0
1881.1, 1
1883.8, 0
1898.6, 3
1913.4, 2
1920.6, 1
1920.9, 0
1941.3, 1
1941.8, 0
1948.8, 3
1974.4, 2
1987.1, 1
1987.5, 0
2003.0, 2
2021.5, 1
2022.6, 0
2041.1, 3
2079.4, 2
2091.4, 1
2091.8, 0
2114.3, 1
2115.2, 0
2119.8, 2
2133.4, 1
2133.8, 0
2168.4, 2
2172.1, 1
2172.6, 0
2201.4, 2
2211.3, 1
2211.8, 0
2221.2, 2
2228.6, 1
2229.1, 0
2235.8, 1
2236.3, 0
2247.4, 1
2250.5, 0
2259.1, 2
2266.2, 1
2266.5, 0
2270.2, 1
2270.9, 0
2280.9, 2
2293.8, 1
2296.2, 0
2317.6, 1
2317.8, 0
2334.1, 1
2335.1, 0
2343.1, 1
2343.6, 0
2349.3, 1
2349.9, 0
2358.8, 3
2370.6, 2
2382.6, 1
2382.8, 0
2403.6, 2
2409.1, 1
2409.5, 0
2425.4, 2
2429.8, 1
2430.1, 0
2449.1, 2
2470.6, 1
2470.9, 0
2474.6, 1
2475.1, 0
2502.4, 1
2503.1, 0
2537.9, 2
2543.5, 1
2543.9, 0
2549.3, 1
2549.7, 0
2560.2, 1
2560.8, 0
2580.6, 2
2594.2, 1
2594.4, 0
2603.0, 2
2616.3, 1
2616.6, 0
2633.1, 2
2640.1, 1
2640.5, 0
2651.4, 1
2652.4, 0
2658.7, 1
2661.8, 0
2689.8, 2
2702.9, 1
2703.4, 0
2748.7, 1
2749.1, 0
2757.1, 3
2775.6, 2
2797.1, 1
2798.0, 0
2801.4, 1
2802.1, 0
2821.3, 2
2837.6, 1
2838.1, 0
2857.1, 1
2857.7, 0
2872.3, 2
2874.4, 1
2874.8, 0
2928.6, 1
2929.3, 0
2948.4, 1
2951.0, 0
2975.8, 1
2976.4, 0
2981.1, 1
2981.5, 0
3001.4, 1
3001.6, 0
3013.4, 2
3021.8, 1
3022.1, 0
3090.9, 3
3115.4, 2
3128.4, 1
3128.8, 0
3155.1, 2
3172.0, 1
3172.3, 0
3185.6, 1
3185.9, 0
3221.6, 2
3227.5, 1
3228.0, 0
3245.9, 1
3246.6, 0
3250.5, 1
3251.1, 0
3259.9, 3
3284.8, 2
3300.9, 1
3301.1, 0
3314.1, 3
3370.1, 2
3378.8, 1
3379.3, 0
3395.0, 1
3395.8, 0
3397.9, 1
3398.3, 0
3413.8, 1
3414.3, 0
3443.8, 1
3444.3, 0
3451.4, 2
3462.2, 1
3462.7, 0
3481.8, 1
3483.6, 0
3495.8, 2
3508.9, 1
3509.2, 0
3538.9, 1
3539.8, 0
3550.4, 2
3581.9, 1
3582.6, 0
3585.8, 1
3586.2, 0
3595.9, 1
3596.9, 0
3609.8, 2
3613.7, 1
3613.9, 0
3636.6, 1
3637.0, 0
3645.3, 1
3645.8, 0
3663.1, 2
3692.9, 1
3693.6, 0
3711.4, 1
3715.2, 0
3747.9, 2
3762.4, 1
3762.9, 0
3780.3, 1
3780.8, 0
3789.8, 2
3805.4, 1
3805.8, 0
3814.7, 1
3815.2, 0
3819.8, 1
3820.4, 0
3833.2, 2
3848.6, 1
3849.3, 0
3855.2, 2
3867.1, 1
3867.3, 0
3878.1, 1
3878.4, 0
3892.8, 3
3947.8, 2
3964.3, 1
3964.8, 0
4017.5, 2
4027.1, 1
4027.4, 0
4030.8, 1
4031.2, 0
4042.4, 1
4042.9, 0
4060.9, 1
4063.9, 0
4084.5, 2
4109.1, 1
4109.6, 0
4117.1, 1
4117.4, 0
4125.9, 1
4126.9, 0
4132.4, 2
4136.1, 1
4136.4, 0
4142.3, 1
4142.8, 0
4156.4, 2
4165.6, 1
4165.8, 0
4177.8, 1
4178.2, 0
4190.9, 1
4191.6, 0
4205.5, 1
4206.3, 0
4224.5, 2
4240.6, 1
4241.5, 0
4243.8, 1
4244.1, 0
4253.8, 1
4254.4, 0
