"timestamps_ms", "ids"
3.8, 2
12.3, 1
14.7, 0
23.7, 4
45.4, 3
54.4, 2
64.5, 1
65.0, 0
76.9, 3
86.1, 2
101.4, 1
104.1, 0
118.4, 2
125.3, 1
127.4, 0
140.7, 2
146.4, 1
149.5, 0
157.8, 5
173.4, 4
189.7, 3
205.4, 2
210.2, 1
210.6, 0
226.6, 3
247.2, 2
261.6, 1
263.2, 0
275.6, 3
292.2, 2
301.4, 1
302.6, 0
314.9, 2
326.0, 1
327.8, 0
340.1, 3
349.0, 2
365.7, 1
366.2, 0
373.7, 3
391.6, 2
408.8, 1
409.2, 0
422.0, 4
441.3, 3
454.6, 2
471.4, 1
473.8, 0
482.0, 4
490.9, 3
511.1, 2
519.5, 1
520.7, 0
555.5, 2
565.3, 1
566.4, 0
581.0, 3
598.1, 2
605.5, 1
606.7, 0
610.8, 5
618.8, 4
631.9, 3
655.4, 2
663.3, 1
665.0, 0
689.1, 2
698.8, 1
701.4, 0
705.7, 3
729.6, 2
738.6, 1
743.1, 0
782.0, 3
797.6, 2
809.9, 1
812.6, 0
829.0, 3
844.9, 2
855.5, 1
856.0, 0
880.1, 3
897.3, 2
902.4, 1
902.8, 0
925.8, 4
938.0, 3
953.0, 2
961.6, 1
962.0, 0
985.1, 3
995.8, 2
1000.4, 1
1000.6, 0
1041.4, 2
1050.7, 1
1051.7, 0
1069.7, 3
1089.5, 2
1101.7, 1
1104.8, 0
1120.8, 4
1138.4, 3
1159.2, 2
1164.6, 1
1164.9, 0
1168.6, 4
1190.2, 3
1205.4, 2
1217.3, 1
1219.2, 0
1227.2, 3
1240.0, 2
1244.5, 1
1245.4, 0
1257.8, 6
1277.9, 5
1291.7, 4
1651.8, 3
1688.5, 2
1700.4, 1
1703.6, 0
1725.9, 2
1735.0, 1
1736.4, 0
1752.7, 3
1766.6, 2
1778.7, 1
1780.4, 0
1805.0, 2
1830.2, 1
1834.7, 0
1841.3, 4
1861.8, 3
1876.7, 2
1889.2, 1
1893.0, 0
1897.3, 5
1914.6, 4
1930.8, 3
1976.3, 2
1985.2, 1
1986.1, 0
1999.8, 5
2046.6, 4
2069.7, 3
2093.3, 2
2102.2, 1
2102.6, 0
2115.3, 4
2128.9, 3
2149.7, 2
2180.8, 1
2181.1, 0
2198.8, 4
2209.8, 3
2228.9, 2
2240.2, 1
2240.4, 0
2250.8, 4
2266.0, 3
2277.8, 2
2287.4, 1
2288.7, 0
2302.2, 2
2319.8, 1
2324.2, 0
2337.8, 2
2347.3, 1
2352.8, 0
2376.6, 2
2389.8, 1
2391.6, 0
2403.8, 2
2426.6, 1
2429.0, 0
2434.0, 3
2446.8, 2
2455.8, 1
2457.4, 0
2461.5, 4
2474.0, 3
2502.8, 2
2511.6, 1
2512.5, 0
2528.2, 3
2561.2, 2
2575.7, 1
2578.9, 0
2597.0, 2
2622.8, 1
2625.6, 0
2634.5, 3
2645.5, 2
2658.7, 1
2663.2, 0
2679.1, 3
2701.4, 2
2717.5, 1
2721.7, 0
2733.3, 3
2742.0, 2
2748.4, 1
2749.0, 0
2766.7, 4
2784.5, 3
2802.0, 2
2816.0, 1
2820.0, 0
2845.8, 2
2853.8, 1
2854.6, 0
2862.6, 4
2872.6, 3
2886.4, 2
2894.8, 1
2895.4, 0
2903.8, 3
2926.0, 2
2936.7, 1
2937.8, 0
2947.5, 3
2962.5, 2
2972.8, 1
2974.8, 0
3002.4, 2
3012.1, 1
3014.0, 0
3027.4, 2
3049.1, 1
3051.0, 0
3077.1, 3
3088.4, 2
3098.3, 1
3099.9, 0
3106.5, 5
3114.1, 4
3154.4, 3
3166.0, 2
3179.9, 1
3181.5, 0
3192.4, 3
3210.1, 2
3216.4, 1
3216.9, 0
3224.7, 2
3231.4, 1
3234.1, 0
3249.7, 5
3259.8, 4
3275.6, 3
3289.1, 2
3294.8, 1
3295.9, 0
3301.6, 4
3309.9, 3
3334.3, 2
3346.6, 1
3348.8, 0
3357.1, 4
3368.3, 3
3385.0, 2
3390.4, 1
3390.8, 0
3425.2, 2
3436.0, 1
3438.5, 0
3443.7, 5
3454.2, 4
3472.2, 3
3487.8, 2
3494.7, 1
3495.1, 0
3506.9, 5
3516.8, 4
3529.7, 3
3542.1, 2
3550.0, 1
3550.6, 0
3557.4, 4
3564.6, 3
3586.6, 2
3601.6, 1
3606.0, 0
3631.6, 2
3654.0, 1
3655.0, 0
3663.2, 2
3669.4, 1
3673.0, 0
3679.8, 4
3688.6, 3
3698.5, 2
3716.1, 1
3718.0, 0
3731.2, 3
3745.0, 2
3759.8, 1
3763.6, 0
3785.5, 3
3801.9, 2
3811.9, 1
3812.9, 0
3832.5, 4
3856.8, 3
3886.4, 2
3896.0, 1
3897.2, 0
3905.4, 3
3917.2, 2
3928.6, 1
3928.8, 0
3949.6, 5
3973.1, 4
3988.9, 3
4007.2, 2
4030.3, 1
4035.9, 0
4038.1, 4
4058.2, 3
4072.9, 2
4085.4, 1
4086.7, 0
4095.7, 3
4106.2, 2
4121.2, 1
4124.3, 0
4133.2, 4
4141.0, 3
4150.6, 2
4163.1, 1
4165.8, 0
4176.5, 3
4208.2, 2
4220.6, 1
4223.5, 0
4234.1, 4
4246.0, 3
4257.6, 2
4262.4, 1
4262.6, 0
4272.2, 4
4281.6, 3
4306.2, 2
4314.7, 1
4316.1, 0
4348.6, 2
4353.4, 1
4353.6, 0
4368.0, 3
4394.0, 2
4397.8, 1
4398.2, 0
4406.9, 4
4417.6, 3
4429.6, 2
4438.2, 1
4439.5, 0
4446.4, 4
4459.8, 3
4473.3, 2
4486.2, 1
4487.3, 0
4506.3, 2
4512.5, 1
4513.0, 0
4523.4, 2
4548.1, 1
4550.9, 0
4557.5, 3
4571.8, 2
4581.7, 1
4584.7, 0
4594.7, 3
4607.6, 2
4632.8, 1
4633.8, 0
4642.8, 5
4653.9, 4
4668.8, 3
4684.5, 2
4689.4, 1
4689.6, 0
4695.7, 3
4720.0, 2
4734.9, 1
4738.3, 0
4743.9, 5
4771.5, 4
4789.5, 3
4803.9, 2
4809.1, 1
4809.4, 0
4840.4, 2
4853.7, 1
4855.9, 0
4861.0, 3
4868.8, 2
4891.2, 1
4894.1, 0
4902.5, 4
4912.1, 3
4922.8, 2
4932.9, 1
4936.4, 0
4938.6, 4
4949.7, 3
4976.6, 2
4985.8, 1
4987.3, 0
