"timestamps_ms","ids"
2.7,1
3,0
128.2,2
136.2,1
136.4,0
145.6,1
145.8,0
258.4,2
271.4,1
271.7,0
292.6,1
292.9,0
325.6,1
325.9,0
368.4,1
368.7,0
380.5,1
380.9,0
455.6,2
470.1,1
470.3,0
537.1,2
577.9,1
578.3,0
604.8,1
605.2,0
613.2,1
613.4,0
624.6,1
624.8,0
632.9,1
633.1,0
648.3,1
648.6,0
697.7,2
765.3,1
765.6,0
822.3,1
822.6,0
880,2
897.5,1
897.8,0
966.3,1
966.6,0
1020.8,1
1021.1,0
1043.4,1
1043.6,0
1071,1
1071.4,0
1077.1,1
1077.5,0
1146.5,2
1188.7,1
1189.1,0
1211.9,1
1212.2,0
1224.3,1
1224.5,0
1272.5,2
1303.9,1
1304.3,0
1415,2
1462.5,1
1462.8,0
1478.2,1
1478.7,0
1538.1,1
1538.7,0
1546.2,1
1546.6,0
1563.3,1
1563.6,0
1573.1,1
1573.4,0
1589.4,1
1589.6,0
1605,1
1605.2,0
1610.7,1
1610.9,0
1650.7,2
1687.8,1
1688,0
1706.2,2
1726.6,1
1727,0
1748.5,1
1748.8,0
1756.2,1
1756.4,0
1764.4,1
1764.6,0
1768.7,1
1769,0
1773.4,1
1773.6,0
1796.9,1
1797.2,0
1869,1
1869.4,0
1901,2
1942.9,1
1943.3,0
2104.4,1
2104.7,0
2117.4,1
2117.6,0
2160.2,1
2160.5,0
2169,1
2169.3,0
2178.4,1
2178.6,0
2195.5,1
2195.8,0
2218.8,1
2219.1,0
2239.8,1
2240,0
2261,1
2261.3,0
2266.7,1
2267,0
2280,1
2280.3,0
2294.4,1
2294.6,0
2300.6,1
2300.8,0
2307.3,1
2307.4,0
2329.3,1
2329.5,0
2338.3,1
2338.6,0
2346.4,1
2346.7,0
2354,1
2354.2,0
2397.3,2
2421.3,1
2421.6,0
2437.1,1
2437.4,0
2445.3,1
2445.6,0
2528.3,1
2528.8,0
2536.9,1
2537.4,0
2550.9,2
2559.3,1
2559.5,0
2568.5,1
2569,0
2578.4,1
2578.8,0
2584.8,2
2592,1
2592.4,0
2606.3,2
2609.1,1
2609.5,0
2617.7,1
2618,0
2627.2,1
2627.4,0
2649.3,1
2649.9,0
2668.8,1
2669.2,0
2681.1,1
2681.4,0
2707.2,2
2718.7,1
2719,0
2725.1,1
2725.4,0
2742.3,1
2742.8,0
2750.2,1
2750.7,0
2759.3,1
2759.6,0
2778.5,2
2794,1
2794.3,0
2807.6,1
2807.8,0
2815.6,1
2815.9,0
2831.7,1
2831.9,0
2854.7,1
2855,0
2867.8,1
2868.2,0
2876.9,1
2877.2,0
2910.9,1
2911.4,0
2925,1
2925.5,0
2932.8,1
2933.2,0
2947.7,1
2948.2,0
2965.4,2
2978.6,1
2978.8,0
2988.9,1
2989.3,0
2999.4,1
2999.7,0
3013.7,1
3014.1,0
3033.5,1
3034.3,0
3046.5,1
3047,0
3069.7,3
3101.8,2
3126.7,1
3127.1,0
3145.5,1
3146,0
3165.9,1
3166.4,0
3173.5,1
3174,0
3180.9,1
3181.3,0
3204.6,3
3221.9,2
3235.7,1
3236,0
3244.4,1
3244.8,0
3264.6,3
3289.6,2
3304,1
3304.4,0
3327.8,1
3328.3,0
3358,1
3358.6,0
3382.2,1
3382.6,0
3413.6,1
3414.1,0
3440,1
3440.4,0
3451.6,1
3452.1,0
3473.7,1
3474,0
3487,1
3487.3,0
3516,1
3516.3,0
3534.5,1
3534.8,0
3588.4,1
3588.6,0
3628.3,1
3628.4,0
3723.9,1
3724.3,0
3729.7,1
3730,0
3740.7,1
3741,0
3746.8,1
3746.9,0
3811.2,1
3811.4,0
3832.8,1
3833.1,0
3853.9,1
3854.2,0
3953.6,1
3954,0
4061.1,1
4061.6,0
4070.6,1
4071,0
4085.4,1
4085.8,0
4097.4,1
4097.7,0
4109.1,1
4109.8,0
4117.3,1
4117.7,0
4129.3,1
4129.8,0
4140.9,1
4141.3,0
4147.7,1
4148.2,0
4167.1,1
4167.4,0
4199.2,3
4236.1,2
4244.6,1
4244.9,0
4252.1,1
4252.4,0
4268,1
4268.4,0
4295.8,1
4296.1,0
4305.4,1
4305.6,0
4340,1
4340.3,0
4384.4,1
4384.6,0
4409.9,1
4410.1,0
4465.8,1
4466,0
4495.3,1
4495.5,0
4660.3,1
4660.6,0
4895.9,2
4904.5,1
4904.8,0
4921,1
4921.4,0
4927.7,1
4928.1,0
4961.3,1
4962,0
4969.4,1
4969.8,0
4977,1
4977.4,0
4986.5,1
4986.8,0
5002.1,1
5002.6,0
5016.2,2
5023.3,1
5023.6,0
5030.8,1
5031.2,0
5040.6,1
5041,0
5052.3,2
5061.4,1
5061.9,0
5080.4,1
5080.5,0
5089.8,1
5090.1,0
5101,1
5101.3,0
5124.4,2
5133.1,1
5133.4,0
5139.3,1
5139.8,0
5150.3,2
5173.9,1
5174.4,0
5208.6,2
5212.9,1
5213.3,0
5222.1,1
5222.4,0
5239.1,2
5250.2,1
5250.5,0
5264.4,1
5264.8,0
5285.9,3
5323.9,2
5335,1
5335.3,0
5341.5,1
5341.8,0
5369.1,4
5387.6,3
5406.1,2
5421.5,1
5421.9,0
5556.1,1
5556.4,0
5603.8,1
5604.2,0
5631,1
5631.4,0
5699.2,1
5699.4,0
5758.4,1
5758.9,0
5811.8,1
5812.2,0
5822.1,1
5822.3,0
5827.4,1
5827.6,0
5840.3,1
5840.6,0
5890.1,1
5890.5,0
5894.1,1
5894.4,0
5903,1
5903.3,0
5974.6,2
5996.6,1
5996.8,0
6034.5,1
6034.9,0
6040.5,1
6040.8,0
6047.8,1
6048,0
6086.3,1
6087,0
6207.7,1
6208,0
6227.2,1
6227.6,0
6293.6,1
6294.1,0
6333.5,1
6333.8,0
6362.4,1
6362.8,0
6368.8,1
6369.1,0
6385.7,1
6386,0
6422.5,1
6423,0
6453,1
6453.4,0
6469.1,1
6469.4,0
6478.9,1
6479.3,0
6543.6,2
6548,1
6548.3,0
6560.3,1
6560.6,0
6569.4,2
6646.9,1
6647.3,0
6688.5,2
6701.5,1
6701.9,0
6778.6,1
6779.1,0
6803.2,1
6803.6,0
6843.6,1
6844,0
6887.8,1
6888.1,0
6923.8,1
6924.3,0
6935,1
6935.4,0
6947.3,1
6947.6,0
6993.5,2
7004,1
7004.3,0
7020.2,1
