"timestamps_ms", "ids"
53.0, 1
53.8, 0
61.3, 1
61.8, 0
68.0, 1
68.4, 0
95.6, 2
107.0, 1
107.6, 0
127.8, 1
130.9, 0
150.7, 1
151.3, 0
165.5, 2
174.0, 1
174.6, 0
190.5, 3
210.6, 2
228.1, 1
228.8, 0
243.2, 2
258.7, 1
259.3, 0
272.8, 2
291.5, 1
292.8, 0
305.3, 3
336.4, 2
343.3, 1
343.8, 0
376.4, 2
381.9, 1
382.5, 0
405.4, 1
406.0, 0
419.8, 1
420.6, 0
431.6, 1
432.1, 0
462.2, 2
482.0, 1
482.6, 0
504.5, 2
514.4, 1
514.8, 0
521.3, 1
521.7, 0
576.9, 2
583.5, 1
583.9, 0
589.1, 1
589.4, 0
633.3, 2
638.4, 1
638.8, 0
678.1, 1
678.9, 0
681.0, 1
681.4, 0
706.0, 1
708.4, 0
716.3, 1
716.7, 0
729.9, 1
730.5, 0
735.9, 1
736.2, 0
737.7, 1
738.4, 0
744.4, 1
744.8, 0
749.9, 1
750.3, 0
758.6, 1
759.1, 0
787.1, 4
830.0, 3
868.8, 2
872.9, 1
873.3, 0
897.8, 2
907.8, 1
908.2, 0
948.2, 3
1004.9, 2
1012.0, 1
1012.6, 0
1029.2, 1
1029.9, 0
1091.0, 2
1104.1, 1
1104.6, 0
1119.8, 1
1120.5, 0
1125.2, 1
1125.8, 0
1138.7, 1
1139.1, 0
1144.6, 1
1145.2, 0
1152.8, 1
1153.2, 0
1174.2, 1
1175.0, 0
1189.4, 1
1190.4, 0
1230.8, 2
1247.2, 1
1247.8, 0
1255.8, 1
1256.2, 0
1282.4, 1
1283.1, 0
1302.0, 5
1323.0, 4
1377.0, 3
1412.9, 2
1427.5, 1
1427.9, 0
1447.5, 1
1447.9, 0
1464.4, 1
1464.9, 0
1500.9, 2
1505.0, 1
1505.5, 0
1522.4, 1
1523.0, 0
1572.6, 3
1592.5, 2
1596.2, 1
1596.7, 0
1615.0, 1
1615.8, 0
1628.0, 1
1628.5, 0
1654.0, 2
1671.4, 1
1671.9, 0
1689.9, 1
1690.5, 0
1718.1, 1
1718.8, 0
1751.2, 2
1754.6, 1
1755.0, 0
1848.9, 4
1927.9, 3
1969.2, 2
1998.1, 1
1998.5, 0
2006.8, 1
2007.2, 0
2033.1, 1
2034.0, 0
2078.8, 2
2097.5, 1
2098.0, 0
2106.1, 1
2106.6, 0
2112.1, 1
2112.5, 0
2158.5, 3
2183.0, 2
2187.6, 1
2188.1, 0
2204.1, 1
2204.6, 0
2217.3, 1
2217.8, 0
2224.5, 1
2225.0, 0
2233.6, 1
2234.0, 0
2273.1, 2
2292.4, 1
2292.8, 0
2418.2, 2
2423.0, 1
2423.5, 0
2444.2, 1
2444.7, 0
2457.9, 1
2458.5, 0
2475.6, 1
2476.2, 0
