"timestamps_ms", "ids"
3.4, 2
7.0, 1
7.5, 0
27.2, 3
38.3, 2
42.0, 1
42.3, 0
72.1, 2
77.1, 2
77.5, 0
115.5, 3
131.2, 2
142.5, 1
143.2, 0
167.0, 2
174.1, 1
174.8, 0
211.1, 6
221.2, 5
239.9, 4
288.8, 3
313.8, 2
321.3, 1
322.0, 0
331.7, 3
374.0, 2
382.8, 1
383.7, 0
392.5, 2
400.4, 1
400.9, 0
411.2, 1
411.8, 0
444.0, 3
455.5, 2
460.0, 1
460.3, 0
469.5, 2
487.1, 1
487.8, 0
494.4, 4
518.5, 3
530.8, 2
540.5, 1
541.1, 0
554.8, 2
564.8, 1
565.1, 0
569.5, 1
570.0, 0
575.5, 1
576.0, 0
597.2, 4
615.5, 3
649.2, 2
655.0, 1
655.3, 0
718.8, 3
724.8, 2
727.6, 1
728.5, 0
741.0, 2
748.0, 1
748.3, 0
758.8, 1
759.5, 0
799.1, 3
811.6, 2
815.5, 1
816.3, 0
825.8, 4
842.8, 3
855.7, 2
868.6, 1
869.2, 0
879.0, 2
888.8, 1
889.3, 0
902.3, 12
913.8, 11
940.7, 10
967.0, 9
988.2, 8
1005.3, 7
1023.2, 6
1047.3, 5
1055.1, 4
1080.0, 3
1092.5, 2
1096.5, 1
1096.8, 0
1125.7, 4
1146.4, 3
1151.2, 2
1156.2, 1
1156.5, 0
1164.9, 3
1193.8, 2
1198.8, 1
1199.3, 0
1213.2, 1
1213.8, 0
1237.0, 1
1237.5, 0
1251.5, 5
1270.5, 4
1334.4, 3
1382.3, 2
1385.1, 1
1385.8, 0
1394.3, 1
1394.9, 0
1413.7, 2
1418.3, 1
1418.7, 0
1452.0, 3
1468.3, 2
1478.8, 1
1479.2, 0
1486.4, 2
1506.6, 1
1507.3, 0
1520.0, 2
1524.0, 1
1524.5, 0
1533.1, 1
1533.6, 0
1542.1, 1
1543.3, 0
1571.3, 5
1598.3, 4
1617.7, 3
1642.3, 2
1655.7, 1
1656.3, 0
1663.2, 2
1668.0, 1
1668.4, 0
1681.3, 1
1682.2, 0
1697.3, 1
1702.0, 0
1717.1, 1
1717.8, 0
1733.2, 2
1746.5, 1
1747.0, 0
1760.5, 2
1764.1, 1
1764.4, 0
1782.1, 7
1814.4, 6
1826.2, 5
1849.8, 4
1879.1, 3
1902.8, 2
1907.7, 1
1908.4, 0
1932.4, 2
1941.7, 1
1942.5, 0
1949.2, 2
1960.3, 1
1960.8, 0
1964.3, 1
1964.8, 0
1998.7, 3
2008.5, 2
2013.4, 1
2013.8, 0
2020.0, 1
2020.5, 0
2034.8, 5
2070.5, 4
2075.7, 3
2095.9, 2
2101.0, 1
2101.5, 0
2126.2, 3
2134.7, 2
2152.5, 1
2153.0, 0
2160.0, 1
2160.8, 0
2164.3, 1
2164.9, 0
2184.8, 8
2201.5, 7
2219.2, 6
2243.8, 5
2270.3, 4
2301.9, 3
2330.8, 2
2339.5, 1
2340.0, 0
2351.9, 4
2372.5, 3
2389.3, 2
2397.5, 1
2397.9, 0
2407.2, 1
2408.0, 0
2430.3, 5
2451.6, 4
2470.3, 3
2482.3, 2
2495.0, 1
2495.7, 0
2504.0, 3
2521.0, 2
2524.1, 1
2524.5, 0
2553.3, 3
2562.7, 2
2570.8, 1
2571.2, 0
2584.9, 2
2591.6, 1
2592.0, 0
2605.3, 3
2619.6, 2
2632.6, 1
2633.3, 0
2644.5, 1
2645.3, 0
2671.0, 2
2681.3, 1
2685.7, 0
2706.8, 4
2736.3, 3
2753.5, 2
2758.4, 1
2759.0, 0
2763.8, 2
2768.2, 1
2768.7, 0
2772.1, 1
2772.8, 0
2782.6, 4
2805.3, 3
2828.7, 2
2832.0, 1
2832.3, 0
2838.9, 4
2868.2, 3
2876.2, 2
2883.5, 1
2884.0, 0
2925.2, 4
2937.7, 3
2960.2, 2
2963.8, 1
2964.3, 0
2974.8, 2
2985.8, 1
2986.4, 0
2992.6, 2
2995.3, 1
2995.6, 0
3041.0, 5
3069.3, 4
3095.5, 3
3106.1, 2
3118.3, 1
3118.8, 0
3157.0, 4
3172.8, 3
3188.0, 2
3195.7, 1
3196.4, 0
3210.2, 2
3218.3, 1
3218.8, 0
3223.1, 1
3223.6, 0
3251.2, 1
3254.2, 0
3259.2, 1
3259.7, 0
3282.4, 3
3295.6, 2
3302.0, 1
3302.4, 0
3309.5, 6
3340.7, 5
3351.7, 4
3361.2, 3
3375.5, 2
3388.0, 1
3388.5, 0
3429.0, 3
3435.0, 2
3452.0, 1
3452.5, 0
3485.0, 8
3495.3, 7
3563.4, 6
3567.0, 5
3597.8, 4
3626.4, 3
3648.5, 2
3655.0, 1
3655.5, 0
3678.7, 2
3684.8, 1
3685.5, 0
3692.3, 1
3695.0, 0
3719.7, 8
3748.6, 7
3763.5, 6
3770.6, 5
3794.2, 4
3810.0, 4
3840.1, 3
3849.6, 2
3856.8, 1
3857.2, 0
3864.2, 2
3869.2, 1
3869.5, 0
3879.8, 2
3894.8, 1
3895.8, 0
3907.3, 2
3916.0, 1
3916.6, 0
3923.8, 2
3927.6, 1
3928.0, 0
3936.7, 1
3937.4, 0
3946.8, 1
3949.4, 0
3973.3, 2
3984.5, 1
3987.4, 0
3992.8, 1
3993.3, 0
3996.0, 1
3996.5, 0
4003.8, 2
4007.4, 1
4007.8, 0
4013.3, 2
4022.4, 1
4022.8, 0
4034.8, 2
4062.7, 1
4063.7, 0
4094.5, 4
