"timestamps_ms","ids"
5.7,1
6.1,0
12.1,1
12.6,0
19.8,1
20.8,0
29.3,2
34.3,1
34.6,0
43.9,2
51.6,1
52.1,0
57.5,1
57.9,0
67,1
67.5,0
74.3,1
74.6,0
80.6,2
90.5,1
91.1,0
97.4,2
103.6,1
104.2,0
113,1
115.4,0
123.1,2
129.3,1
129.8,0
137.9,1
138.7,0
144.4,1
144.9,0
149.1,1
149.6,0
155.6,1
156.1,0
168.5,1
173.8,0
187.9,2
193.5,1
194,0
199.1,1
199.7,0
211.9,2
218.6,1
219,0
227.8,2
232.6,1
232.9,0
241.4,2
252.1,1
252.5,0
258.6,1
259.3,0
269.6,1
271.9,0
274.1,1
274.6,0
289.8,2
296.8,1
297.4,0
310.2,2
317.4,1
318.4,0
330.6,2
340.3,1
340.6,0
349.9,1
350.5,0
360.6,2
371.8,1
372.9,0
384.8,2
391.6,1
392.1,0
400.6,2
410.4,1
410.9,0
424.1,1
427.1,0
436.3,1
437.3,0
446.4,2
452.2,1
452.7,0
461.8,2
470.9,1
471.3,0
478.3,1
479.2,0
486.9,2
496.9,1
497.4,0
502.8,1
503.9,0
515.1,2
526.1,1
526.6,0
531.1,1
531.6,0
543.2,2
554.2,1
554.9,0
560.3,2
571.6,1
572.3,0
580.9,1
581.6,0
588,1
588.6,0
596.9,2
597.7,0
608.5,3
618.5,2
627.4,1
627.9,0
637.5,2
647.4,1
647.9,0
654.2,1
654.7,0
669.3,2
674.4,1
674.8,0
688.1,2
696.1,1
696.8,0
706.4,2
715.3,1
715.7,0
724.9,2
732.3,1
732.8,0
746.1,2
755.1,1
755.6,0
767.3,2
773.7,1
774.1,0
781.1,1
785.9,0
793.4,3
801.3,2
806,1
806.3,0
817.5,2
823.4,1
823.9,0
832.5,1
833.3,0
838.2,1
838.9,0
845.3,1
845.7,0
851.8,1
852.4,0
856.6,1
857.3,0
868.4,2
877.6,1
878.3,0
883.8,1
884.3,0
890.1,1
891.6,0
897,1
897.9,0
903.6,2
912.1,1
912.5,0
917.4,1
917.8,0
928.6,2
938,1
938.7,0
943.7,1
944.3,0
952.8,2
960.6,1
961.1,0
969.6,1
970.1,0
978.3,2
986.3,1
986.7,0
994.2,2
1000.4,1
1000.9,0
1010,2
1016.3,1
1016.6,0
1027.3,2
1034.8,1
1035.2,0
1050.4,2
1060.1,1
1060.7,0
1067.3,3
1084.2,2
1089.8,1
1090.3,0
1103.1,2
1107.9,1
1108.2,0
1120.1,2
1131.3,1
1132.2,0
1143.2,2
1149.9,1
1150.6,0
1161.6,4
1174.1,3
1192.4,2
1198.9,1
1199.4,0
1212.8,4
1219.8,3
1238.9,2
1245.4,1
1245.9,0
1260.5,3
1273.4,2
1283,1
1283.6,0
1295.4,2
1306.6,1
1307.2,0
1313.9,1
1314.4,0
1329.8,3
1338.6,2
1344.6,1
1345.1,0
1354.8,2
1364.1,1
1364.6,0
1371.6,1
1372.4,0
1386.1,2
1396.9,1
1397.6,0
1407.1,2
1417.6,1
1418.2,0
1426,2
1436.3,1
1436.5,0
1442.5,1
1442.7,0
1451.6,2
1456.8,1
1457.1,0
1465.4,1
1466,0
1478.1,3
1488.5,2
1496.1,1
1496.6,0
1507.6,2
1513.3,1
1513.6,0
1521.6,1
1522.1,0
1527.1,1
1527.6,0
1535.7,1
1536.4,0
1544.3,2
1549.1,1
1549.4,0
1560.7,2
1569.6,1
1570.3,0
1585.8,5
1601.7,4
1611.4,3
1627.6,2
1637.4,1
1637.9,0
1644.8,1
1646,0
1656.6,1
1657.4,0
1674.6,7
1690.9,6
1700.3,5
1719.7,4
1733.8,3
1754.4,2
1764.4,1
1765.1,0
1777.9,2
1786.9,1
1787.5,0
1802.1,2
1806.9,1
1807.4,0
1826,3
1837.4,2
1846.1,1
1846.6,0
1857.9,2
1861.7,1
1862.1,0
1875.1,2
1883.3,1
1884.4,0
1895.8,2
1902.5,1
1902.9,0
1912.3,1
1912.9,0
1923.4,2
1928.5,1
1928.8,0
1948.5,3
1960.5,2
1968.4,1
1968.9,0
1985.9,2
1995.6,1
1996.1,0
2007.9,7
2024.4,6
2040.8,5
2058,4
2085,3
2097.1,2
2106.9,1
2107.4,0
2121.7,2
2127.6,1
2128,0
2132.1,1
2132.6,0
2142.6,2
2152.3,1
2153.1,0
2160.7,5
2174.8,4
2185.5,3
2203.8,2
2209.5,1
2209.9,0
2218.4,2
2226.1,1
2226.5,0
2230.4,1
2231.1,0
2236.6,2
2242.9,1
2243.8,0
2249.9,2
2253.4,1
2253.9,0
2261.8,2
2265.6,1
2266.4,0
2281.7,13
2290.9,12
2304.2,11
2313.8,10
2330,9
2358.5,8
2380.9,7
2406.1,6
2428.8,5
2453.9,4
2475.6,3
2583.4,2
2588.9,1
2589.4,0
2636.1,6
2652.6,5
2667.8,4
2712.6,3
2746.3,2
2765.2,1
2765.9,0
2826.9,2
2836.4,1
2836.9,0
2847.8,5
2890.6,4
2919,3
2945.9,2
2955.4,1
2956.3,0
2994.1,4
3013.4,3
3039.3,2
3052.7,1
3053.2,0
3068.9,2
3079.3,1
3079.7,0
3102.9,7
3125.6,6
3157.1,5
3170.3,4
3188.6,3
3220.1,2
3231.9,1
3232.8,0
3245.8,5
3258.3,4
3279.6,3
3304.5,2
3317.6,1
3318.2,0
3342.4,1
3346.4,0
3386.4,3
3398.6,2
3412.8,1
3413.4,0
3425.2,3
3457.6,2
3473.1,1
3473.7,0
3481.8,3
3507.8,2
3517.2,1
3517.6,0
3537.3,3
3552.3,2
3576.1,1
3577.9,0
3593.4,7
3613.1,6
3626.8,5
3640.4,4
3648.6,3
3660.5,2
3669.7,1
3670.4,0
3682.1,3
3694.2,2
3701.6,1
3702.1,0
3711.8,5
3728.1,4
3737,3
3749.8,2
3760.9,1
3761.6,0
3769.3,4
3785.6,3
3800.8,2
3806.8,1
3807.1,0
3822.3,2
3832.6,1
3833.2,0
3847.3,4
3871.8,3
3881.7,2
3899.4,1
3900.1,0
3918.3,4
3929,3
3950.9,2
3964.3,1
3965.3,0
3975.8,4
4002.6,3
4014.4,2
4029.1,1
4029.8,0
4035.4,3
4052.4,2
4064.5,1
4065,0
4087.8,2
4100.6,1
4101.2,0
4107.7,1
4108.3,0
4128.3,2
4143.8,1
4144.4,0
4157.6,2
4165.6,1
4166.1,0
4177.9,1
4178.4,0
4215.9,4
4241.8,3
4253.4,2
4265.9,1
4266.6,0
4288.3,4
4313.4,3
4337.3,2
4343.3,1
4343.8,0
4354.6,1
4355.1,0
4381.4,2
4391.9,1
4392.3,0
4418.6,3
4436.7,2
4451.6,1
4452.4,0
4473.4,2
4480.9,1
4481.6,0
4495,2
4509.6,1
4510.4,0
4535.1,3
4554.6,2
4572.9,1
4573.4,0
4581.3,1
4581.8,0
4598.4,5
4614.1,4
4654.9,3
4684.1,2
4698.6,1
4699.2,0
4713.3,3
4738.6,2
4746.3,1
4746.6,0
4754.8,1
4755.4,0
4775.2,5
4795.3,4
4823.6,3
4853.1,2
4861.8,1
4862.1,0
4873.3,3
4891.2,2
4904.6,1
4904.9,0
4920.4,6
4945.3,5
4962.6,4
4985.4,3
5004.6,2
5018.4,1
5018.9,0
5027.7,1
5028.4,0
5049.4,6
5069.6,5
5095.3,4
5114.4,3
5137.2,2
5154.1,1
5154.9,0
5178.4,2
5193.5,1
5194.4,0
5205.1,1
5205.9,0
5216.3,3
5238.7,2
5254.8,1
5258.4,0
5283.2,8
5305.9,7
5321,6
5353.9,5
5393.2,4
5413.2,3
5429.9,2
5442.2,1
5442.7,0
5461.3,1
5461.7,0
5470.8,1
5471.6,0
5489.7,2
5498.6,1
5498.9,0
5507.5,2
5523.9,1
5525.9,0
5535.3,6
5560.9,5
5578.8,4
5596.9,3
5623.3,2
5637.3,1
5637.8,0
5655.8,2
5661.2,1
5661.7,0
5697.1,4
5718.4,3
5734,2
5745.3,1
5745.6,0
5766.1,2
5777.8,1
5778.2,0
5787.9,1
5788.4,0
5808.9,2
5819.6,1
5820.1,0
5840.4,2
5851.9,1
5852.7,0
5860.6,3
5876.3,2
5891.9,1
5892.4,0
5915.1,3
5934.5,2
5945.4,1
5945.9,0
5960.3,2
5972.7,1
5973.1,0
5992.1,3
6011.1,2
6017.1,1
6017.6,0
6033.8,3
6067.8,2
6086.4,1
6087.1,0
6116.2,3
6133.7,2
6146.9,1
6147.4,0
6156.9,1
6157.9,0
6172,3
6203.7,2
6210,1
6210.4,0
6245.8,3
6261.8,2
6274.4,1
6274.9,0
6319.8,3
6329.8,2
6347.8,1
6348.4,0
6357.4,1
6358.1,0
6369.9,4
6409.1,3
6416.1,2
6438.4,1
6439.1,0
6447.6,1
6448.1,0
6464.6,2
6479.3,1
6479.7,0
6507.6,2
6523.4,1
6523.9,0
6548.4,1
6551.9,0
6575.9,3
6590.9,2
6602.8,1
6603.1,0
6621.9,2
6643.1,1
6644.9,0
6657.3,3
6675,2
6682.5,1
6682.8,0
6691.1,1
6691.6,0
6709.4,3
6725.1,2
6740.4,1
6741,0
6758.3,1
6759.1,0
6768.3,3
6785.4,2
6806.6,1
6807.3,0
6833.4,2
6838.9,1
6839.4,0
6848.4,1
6849,0
6857.3,1
6857.9,0
6873.9,4
6887.5,3
6906.1,2
6914.9,1
6915.5,0
6925.6,1
6926,0
6940.6,2
6951.4,1
6951.9,0
6966.4,2
6974.8,1
6975.2,0
7001.6,2
7013.2,1
7013.6,0
7031.6,2
7042.8,1
7043.3,0
7059.1,4
7090.7,3
7101.9,2
7114.7,1
7115.4,0
7123.1,1
7124.4,0
7135.7,2
7146,1
7146.4,0
7153.4,1
7153.8,0
7178.1,2
7184.7,1
7185.1,0
7201.1,4
7223.6,3
7249.6,2
7254.9,1
7255.4,0
7269.6,1
7270.1,0
7274.3,1
7274.6,0
7287.9,1
7289.4,0
7313.8,5
7344.4,4
7380.3,3
7407.6,2
7414.1,1
7414.4,0
7433.9,3
7451.6,2
7470.1,1
7470.7,0
7495.6,4
7517.3,3
7537,2
7555.9,1
7557.2,0
7576.9,4
7600.9,3
7616.3,2
7635,1
7635.5,0
7655.5,2
7666.1,1
7666.6,0
7683.6,1
7684.2,0
7689.3,1
7689.7,0
7708.9,4
7727.6,3
7756.1,2
7766.9,1
7767.4,0
7783,2
7791.9,1
7792.3,0
7802.1,1
7802.6,0
7818.4,2
7832.1,1
7832.4,0
7857.3,2
7862.9,1
7863.4,0
7873.3,1
7874,0
7883.3,3
7902.1,2
7912,1
7912.5,0
7937.2,2
7949.2,1
7949.6,0
7966.6,1
7967.3,0
7999.6,2
8006.9,1
8007.5,0
8016.9,1
8017.4,0
8029.4,2
8044.6,1
8045.3,0
8058.4,2
8068.6,1
8069.4,0
8078.7,1
8079.3,0
8095.9,3
8112.9,2
8126.5,1
8126.9,0
8136.9,1
8138.1,0
8156.9,2
8167.9,1
8168.4,0
8175.7,1
8176.3,0
8197.8,5
8211.4,4
8226.4,3
8242.3,2
8257.2,1
8257.8,0
8270.4,4
8294.1,3
8305.1,2
8309.4,1
8309.8,0
8322.2,2
8334.7,1
8335.3,0
8346.9,2
8353.1,1
8353.4,0
8374.9,3
8393,2
8398.6,1
8398.9,0
8420.3,3
8434.2,2
8439.1,1
8439.6,0
8447.7,1
8448.1,0
8451.4,1
8451.9,0
8464.1,2
8476.5,1
8477.1,0
8481.4,1
8481.9,0
8492.9,1
8496.7,0
8502.7,1
8503.2,0
8505.8,1
8506.3,0
8514.3,1
8514.8,0
8520.8,2
8526.4,1
8526.9,0
8538.4,2
8546.5,1
8546.9,0
8553.1,2
8559.4,1
8559.8,0
8570.6,2
8578.1,1
8578.7,0
8588.9,4
8592.7,3
8602.5,2
8606.7,1
8607.2,0
8611.6,1
8612.1,0
8621.6,8
8634.9,7
8644.9,6
8655.3,5
